Posting No.,Document No.,Posting Date,Customer No.,Customer Name,Ship-to Name,Division Code,No.,Description,Packing Size,Qty. per Unit of Measure,UOM,Quantity,Quantity (Base)
FSD2INV-220501217,FSD2SO-063330,5/25/2022,C-2102043,SPACE TPC PTE LTD,SPACE TPC PTE LTD,FSD2,YOWELIS567GM,YOWE LYCHEE IN SYRUP,12 X 565GM,1,TIN,2,2
FSD2INV-220501218,FSD2SO-063331,5/25/2022,C-004494,BRICKLANE PTE LTD,BRICKLANE PTE LTD,FSD2,ZZNFJRT2502,"2502 JUMBO TOILET ROLLS 2 PLY - normal ""In CTN""",12 roll x 700gm,1,CTN,1,1
FSD2INV-220501219,FSD2SO-063332,5/25/2022,C-004494,BRICKLANE PTE LTD,BRICKLANE PTE LTD,FSD2,ZZDPCG2KG,"CHILL DEWFRESH PARMESAN CHEESE GRATED ""POWDER""",6 X 2KG,1,PKT,1,1
FSD2INV-220501194,FSD2SO-063300,5/24/2022,C-2204044,LITTLE FARMS PTE LTD - RIVER VALLEY,LITTLE FARMS CAFE - RIVER VALLEY,FSD2,FMPENZR500GM,SAPORITO PENNE ZITI RIGATI,24 X 500GM,1,PKT,6,6
FSD2INV-220501195,FSD2SO-063308,5/24/2022,C-2010005,DAEBAK KOREAN RESTAURANT,DAEBAK,FSD2,ZZOAV1KG,AJINOMOTO VECHIEN - ORIGINAL (MSG),20 X 1KG,1,PKT,3,3
FSD2INV-220501195,FSD2SO-063308,5/24/2022,C-2010005,DAEBAK KOREAN RESTAURANT,DAEBAK,FSD2,ZZCS3KG,YOWE COOKING SALT,5 X 3KG,1,PKT,2,2
FSD2INV-220501196,FSD2SO-063311,5/24/2022,C-2104009,EAT JOY PTE LTD,ABUNDANCE,FSD2,ZZNFDWL5LTR,YOWELL DISH WASHING LIQUID,4 x 5LTR,1,BTL,4,4
FSD2INV-220501196,FSD2SO-063311,5/24/2022,C-2104009,EAT JOY PTE LTD,ABUNDANCE,FSD2,ZZLKXOS220GM,LKK SEAFOOD XO SAUCE,12 X 210GM,1,BTL,12,12
FSD2INV-220501203,FSD2SO-063312,5/24/2022,C-002212,SAIGON ROLLS PTE LTD,SAIGON ROLLS PTE LTD,FSD2,ZZNFDWL5LTR,YOWELL DISH WASHING LIQUID,4 x 5LTR,1,BTL,2,2
FSD2INV-220501203,FSD2SO-063312,5/24/2022,C-002212,SAIGON ROLLS PTE LTD,SAIGON ROLLS PTE LTD,FSD2,DZBPCRH500GM,YOWE BLACK PEPPER CRUSHED,40 x 500GM,1,PKT,1,1
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZBS100GM,BICARBONATE SODA,12 outer x 12Btl x 100GM,1,BTL,4,4
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZFNCKC330ML,"COKE CANNED DRINK ""SG""",24 X 320ML,1,CTN,1,1
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,MGCS340GM,"MAGGI CHILLI SAUCE ""HC""",24 X 340GM,1,BTL,1,1
