Bin.,No.,Description,Packing Size,UOM
12-LF1,ZZPBF1KG,PRIMA BREAD FLOUR,20 X 1 KG,PKT
12-LF1,ZZRHKF1KG,REDMAN HONG KONG FLOUR,12 X 1 KG,PKT
12-LF2,ZZPMCAF1KG,PRIMA CAKE FLOUR,20 X 1 KG,PKT
12-LF2,ZZPPF1KG,REDMAN PLAIN FLOUR,10 X 1KG,PKT
12-LF2,ZZPOWF500GM,WHEAT FLOUR - TANG MIAN,40 X 600GM,PKT
12-LG1,NNPLFL900GM,DR OETKER NONA PLAIN FLOUR,24 X 900GM,PKT
12-LG1,ZZCF5KG,YOWE CORN STARCH /  FLOUR,4 x 5KG,PKT
12-LG2,ZZBFCFG1KG,BESTARI CRISPY FRIED CHICKEN COATING MIX ORIGINAL- GREEN BAG,12 x 1KG,PKT
12-LG2,ZZBKSRF1KG,BLUE KEY SELF RAISING FLOUR,12 X 1KG,PKT
12-LH1,ZZPITF25KG,PRIMA IKAN TERBANG FLOUR,25KG / BAG,BAG
12-LH1,ZZWWF25KG,YOWE WHEAT WHITE PLAIN FLOUR,25KG / BAG,BAG
12-LH2,ZZPGJR1KG,PADDY GREEN JASMINE RICE,20 X 1KG,PKT
12-LH2,ZZSFR5KG,PADDY LAND / GREEN FRAGRANT RICE,6 X 5KG,PKT
12-LK1,ZZSFR25KG,"DOUBLE LUCKY FRAGRANT JASMINE RICE ""VIETNAM""",25KG / BAG,BAG
12-LK1,ZZGTKR25KG,GITANGKIM AAA FRAGRANT RICE (JASMINE - Vietnam),25KG / BAG,BAG
12-LK2,ZZCR5KG,CALROSE RICE - PADDY KING,4 x 5kg,PKT
12-LK2,ZZFR5KG,GITANGKIM SUPERIOR RICE (OLD CROP),5KG / BAG,BAG
12-LL1,ZZABR20KG,AASHMA INDIAN BASMATI RICE,20KG / BAG,BAG
12-LL1,KKSR22680GM,KOKUHO RICE,22.68KG / BAG,BAG
12-LL2,DZBAR5KG,AASHMA BASMATI RICE,4 X 5KG,PKT
12-LL2,ZZKR2500GM,KOKUHO RICE,10 x 2.5KG,PKT
12-LM1,ZZFRGP25KG,"GOLDEN PHOENIX FRAGRANT RICE ""THAI""",25KG / BAG,BAG
12-LM1,ZZFRRU25KG,ROYAL UMBRELLA RICE,25KG /BAG,BAG
12-LM2,ZZFRU5KG,"THAI FRAGRANCE RICE ""UMBRELLA""",4 X 5KG,BAG
12-LM2,DZBRWR1KG,"YOWE BROWN RICE ""RED""",25 x 1KG,PKT
12-LN1,ZZCR25KG,CALROSE RICE,25KG / BAG,BAG
12-LN1,ZZWRR5KG,ECOBROWN UNPOLISHED BROWN RICE,4 x 5KG,BAG
12-LN2,ZZWRR2KG,ECOBROWN WHOLEGRAIN MIX,10 x 2 KG,PKT
12-LN2,ELRSA1KG,SAPORITO RISO ARBORIO RICE,12 X 1KG,BOX
12-LP1,ZZBGR1KG,BLACK GLUTINOUS RICE,25 x 1KG,PKT
12-LP1,ZZWGR1KG,YOWE WHITE GLUTINOUS RICE,25 x 1KG,PKT
12-LP2,ZZAGPF200GM,ADABI GORENG PISANG FLOUR,40 x 250GM,PKT
12-LP2,ZZEMW330ML,ADABI RICE CUBE,12 X 780GM,PKT
12-LQ1,ZZCPORR800GM,CAPTAIN INSTANT OATMEAL - RED,12 X 800GM,PKT
