,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
7610,4420,12/15/2018,3810905,449048,1,449048,A0714204,A07,14,"[31.25, 16.5]",A0714,"(110, 320)"
7611,4421,12/15/2018,3810903,449048,3,449048,A0714204,A07,14,"[31.25, 16.5]",A0714,"(110, 320)"
7612,4422,12/15/2018,3810894,459988,1,459988,A0722403,A07,22,"[31.25, 22.5]",A0722,"(250, 100)"
7613,4423,12/15/2018,3810895,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7614,4424,12/15/2018,3810886,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7615,4425,12/15/2018,3810877,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7616,4426,12/15/2018,3810867,335345,1,335345,A1007502,A10,7,"[22.75, 12.0]",A1007,"(270, 120)"
7617,4427,12/16/2018,3814424,447663,1,447663,A1020501,A10,20,"[20.75, 21.0]",A1020,"(100, 140)"
7618,4428,12/16/2018,3814419,303894,1,303894,A0306402,A03,6,"[44.25, 10.5]",A0306,"(280, 140)"
7619,4429,12/16/2018,3814372,264149,1,264149,A0911204,A09,11,"[26, 15.0]",A0911,"(330, 320)"
7620,4430,12/16/2018,3814372,335930,1,335930,A0915404,A09,15,"[26, 18.0]",A0915,"(150, 320)"
7621,4431,12/16/2018,3814372,340386,1,340386,A0920102,A09,20,"[24, 21.0]",A0920,"(140, 120)"
7622,4432,12/16/2018,3814372,397385,1,397385,A0802304,A08,2,"[28.0, 6.0]",A0802,"(350, 60)"
7623,4433,12/16/2018,3814372,450075,1,450075,A0916101,A09,16,"[24, 18.0]",A0916,"(330, 200)"
7624,4434,12/16/2018,3814372,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7625,4435,12/16/2018,3814371,406640,1,406640,A0704102,A07,4,"[31.25, 9.0]",A0704,"(420, 200)"
7626,4436,12/16/2018,3814326,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7627,4437,12/16/2018,3814300,335345,1,335345,A1007502,A10,7,"[22.75, 12.0]",A1007,"(270, 120)"
7628,4438,12/16/2018,3814229,386351,1,386351,A0305306,A03,5,"[45.5, 10.5]",A0305,"(140, 380)"
7629,4439,12/16/2018,3814229,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7630,4440,12/16/2018,3814221,202889,1,202889,A0914502,A09,14,"[24, 16.5]",A0914,"(420, 60)"
7631,4441,12/16/2018,3814222,438436,1,438436,A0413102,A04,13,"[42.25, 16.5]",A0413,"(140, 280)"
7632,4442,12/16/2018,3814211,179875,1,179875,A0322103,A03,22,"[44.25, 22.5]",A0322,"(350, 140)"
7633,4443,12/16/2018,3814211,371115,1,371115,A0315205,A03,15,"[45.5, 18.0]",A0315,"(370, 160)"
7634,4444,12/16/2018,3814211,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7635,4445,12/16/2018,3814206,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7636,4446,12/16/2018,3814209,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
7637,4447,12/16/2018,3814203,435623,1,435623,A0715104,A07,15,"[32.5, 18.0]",A0715,"(330, 220)"
7638,4448,12/16/2018,3813895,366684,1,366684,A0109101,A01,9,"[52.0, 13.5]",A0109,"(180, 300)"
7639,4449,12/16/2018,3813895,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7640,4450,12/16/2018,3813895,464707,1,464707,A0321403,A03,21,"[45.5, 22.5]",A0321,"(290, 320)"
7641,4451,12/16/2018,3813895,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7642,4452,12/16/2018,3813679,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7643,4453,12/16/2018,3813679,402695,1,402695,A0314408,A03,14,"[44.25, 16.5]",A0314,"(330, 20)"
