,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
4736,4736,12/12/2018,3793236,434288,2,434288,A0713401,A07,13,"[32.5, 16.5]",A0713,"(200, 100)"
4737,4735,12/12/2018,3793236,445129,2,445129,A0312408,A03,12,"[44.25, 15.0]",A0312,"(130, 320)"
4738,4733,12/12/2018,3793236,293550,1,293550,A1120501,A11,20,"[15.25, 21.0]",A1120,"(110, 60)"
4739,4740,12/12/2018,3793236,191284,2,191284,A0516302,A05,16,"[37.75, 18.0]",A0516,"(130, 120)"
4740,4740,12/12/2018,3793236,320535,2,320535,A0607503,A06,7,"[35.75, 12.0]",A0607,"(310, 280)"
4741,4740,12/12/2018,3793236,423147,1,423147,A1008302,A10,8,"[20.75, 12.0]",A1008,"(200, 40)"
4742,1739,12/12/2018,3793236,453966,1,453966,A1120202,A11,20,"[15.25, 21.0]",A1120,"(420, 180)"
4743,4744,12/12/2018,3793236,388059,2,388059,A0806103,A08,6,"[28.0, 10.5]",A0806,"(70, 280)"
4744,4745,12/12/2018,3793236,397857,2,397857,A0208202,A02,8,"[47.5, 12.0]",A0208,"(350, 80)"
4745,4745,12/12/2018,3793236,329409,2,329409,A0721303,A07,21,"[32.5, 22.5]",A0721,"(320, 240)"
4746,4744,12/12/2018,3793236,466405,1,466405,A1007503,A10,7,"[22.75, 12.0]",A1007,"(300, 280)"
4747,1740,12/12/2018,3793236,453967,1,453967,A1120203,A11,20,"[15.25, 21.0]",A1120,"(190, 20)"
4748,4749,12/12/2018,3793236,215438,1,215438,A0617401,A06,17,"[35.75, 19.5]",A0617,"(50, 340)"
4749,4750,12/12/2018,3793236,458550,2,458550,A0916103,A09,16,"[24, 18.0]",A0916,"(210, 120)"
4750,4751,12/12/2018,3793236,418962,2,418962,A0514104,A05,14,"[37.75, 16.5]",A0514,"(330, 120)"
4751,4752,12/12/2018,3793236,329374,2,329374,A1015103,A10,15,"[22.75, 18.0]",A1015,"(140, 260)"
4752,4753,12/12/2018,3793236,344975,1,344975,A0412302,A04,12,"[41.0, 15.0]",A0412,"(230, 340)"
4753,4753,12/12/2018,3793236,370811,2,370811,A0904402,A09,4,"[24, 9.0]",A0904,"(190, 220)"
4754,4753,12/12/2018,3793236,403963,2,403963,A0305302,A03,5,"[45.5, 10.5]",A0305,"(330, 140)"
4755,4752,12/12/2018,3793236,276871,1,276871,A0913204,A09,13,"[26, 16.5]",A0913,"(70, 160)"
4756,4752,12/12/2018,3793236,286879,1,286879,A0317108,A03,17,"[45.5, 19.5]",A0317,"(440, 120)"
4757,4751,12/12/2018,3793236,442946,2,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,"(150, 340)"
4758,4759,12/12/2018,3793236,81961,1,81961,A0201503,A02,1,"[48.75, 6.0]",A0201,"(90, 60)"
4759,4759,12/12/2018,3793236,453962,1,453962,A1117503,A11,17,"[19.5, 19.5]",A1117,"(300, 160)"
4760,4759,12/12/2018,3793236,267275,1,267275,A0808404,A08,8,"[28.0, 12.0]",A0808,"(330, 340)"
4761,4751,12/12/2018,3793236,338809,2,338809,A0604302,A06,4,"[34.5, 9.0]",A0604,"(150, 100)"
4762,4750,12/12/2018,3793236,440970,2,440970,A0418201,A04,18,"[41.0, 19.5]",A0418,"(110, 200)"
4763,4750,12/12/2018,3793236,353792,2,353792,A0905302,A09,5,"[26, 10.5]",A0905,"(140, 300)"
4764,4765,12/12/2018,3793236,399060,2,399060,A0407201,A04,7,"[42.25, 12.0]",A0407,"(260, 380)"
4765,4765,12/12/2018,3793236,254222,2,254222,A0719102,A07,19,"[32.5, 21.0]",A0719,"(290, 120)"
4766,4765,12/12/2018,3793236,353788,1,353788,A0906503,A09,6,"[24, 10.5]",A0906,"(300, 100)"
4767,4749,12/12/2018,3793236,434126,1,434126,A0801103,A08,1,"[29.25, 6.0]",A0801,"(220, 340)"
4768,4749,12/12/2018,3793236,397863,1,397863,A0306508,A03,6,"[44.25, 10.5]",A0306,"(130, 240)"
4769,4770,12/12/2018,3793236,434417,1,434417,A0410101,A04,10,"[41.0, 13.5]",A0410,"(350, 340)"
4770,4771,12/12/2018,3793236,260503,2,260503,A0515103,A05,15,"[39.0, 18.0]",A0515,"(340, 220)"
4771,4772,12/12/2018,3793236,403895,2,403895,A0416304,A04,16,"[41.0, 18.0]",A0416,"(310, 20)"
4772,4772,12/12/2018,3793236,440651,2,440651,A0304106,A03,4,"[44.25, 9.0]",A0304,"(190, 260)"
4773,4772,12/12/2018,3793236,344983,2,344983,A0415104,A04,15,"[42.25, 18.0]",A0415,"(190, 220)"
